@room,room-nr,symbol-img,desc,rules,doors,room-icon,BACK,+
,9,Clover.svg,"There are four different openings in this corridor, each covered by heavy wooden doors.","No special rules. Deal the cards in three piles, then invert them to that the topmost card ends up at the bottom. Place each tile by an opening.",4,6x2.png,y,@roomback
,10,Clover.svg,"There are two different openings in this corridor, each covered by heavy wooden doors.",No special rules.,2,6x2.png,y,@roomback
,2,Hearts.svg,"*Large storage room*\nThis dark room seems to be some kind of warehouse as it is littered with crates, barrels and sacks.",Place 4 stacks of boxes and 2 barrels in the room. The stacks can each be individually searched.,2,6x6.png,y,@roomback
,3,Hearts.svg,"*The Alchemist Chamber*\nThere is a foul odour in this chamber that must be emanating from one of the countless bottles and jars with alchemical ingredients. There is table propped up against the wall covered with this and that. On one side the party happily sees a small chest as well.  Along the wall is dirty, unmade bed.",The table and chest can be searched.,2,4x6.png,y,@roomback
,4,Hearts.svg,"*The Library*\nIt feels like the air has been still in this room for a very long time. Dust is covering all the shelves and the hundreds of books in this room. It seems the shelves were not enough, since there are also piles of books on the floor. In the middle of the room is a table, probably used for reading.",There are 3 bookshelves and a table in this room. They may all be searched.,2,6x6.png,y,@roomback
,5,Hearts.svg,"*The Temple*\nClearly, this room has been used as a shrine for some forsaken god. On one side is an altar flanked by two lit braziers. Along the opposite wall are a large statue, maybe resembling the forgotten deity.",Both the statue and altar can be searched.,2,6x6.png,y,@roomback
,6,Hearts.svg,"*The Torture chambers*\nThe smell is terrible here. There are several contraptions, designed to cause as much pain as possible. In the middle of the rooms is a table covered in body parts and on the walls are the bloody remnants of torture masters’ work. In one corner, there is small chest, maybe containing the belongings of some victim.",The chest may be searched.,2,6x6.png,y,@roomback
,7,Hearts.svg,"*The Guards chamber*\nThis dimly lit chamber is some kind of barrack. The fact that there are torches burning indicates that whoever sleeps here cannot be far away. There are several makeshift beds on the floor, some even with sacks or backpacks. Alongside one wall is a weapons rack.","There are 3 bedrolls on the floor that can be searched, as well as the weapon rack.  However, the threat level is also raised by 1.  Furthermore, the chance of encounter in this room is increased by 15%.",3,6x6.png,y,@roomback
,8,Hearts.svg,"*Monster Den*\nThis room is different. The smell of excrements is overwhelming, and there are no sources of light. Carefully setting one foot inside the room, you hear the crunching sound. The floor is littered in bones. Something non-human lives in here. However, gleaming in one corner is what seems to be a pile of gold.","Roll on the table to decide what monster lives here.  There is also an +10% increased chance of encounters, in which case the monster will appear instead of using the standard tables:*1:* Common troll, Armour 2; *2:* A Minotaur, Greataxe,Armour 2;*3:* A Gigantic snake; *4-6:* A Gigantic spider\nThe pile can be searched.",2,6x6.png,y,@roomback
,9,Hearts.svg,"*Small treasure chamber*\nFinally, a room worthy of your presence. Even though the stones are as dank and dark as the rest of dungeon, there is a silver lining here. Alongside the walls are several chests just waiting to be plundered.","There are 3 chests in this room, of one is considered an objective chest.",1,6x6-T.png,y,@roomback
,10,Hearts.svg,"*The Sanctuary*\nThere is a silence in this room that somehow feels reassuring. The room is dimly lit and in the middle of the room is a large fountain. The water from the fountain mirrors the torches, making the light dance across the ceiling and walls.","The water in the fountain can be drunk. Furthermore, it can be searched. The threat level is decreased by 2.",2,6x6-T.png,y,@roomback
,2,Diamonds.svg,*Large Pillar hall*\nThis grand hall is adorned with two rows of pillars. On one of the long sides are a small water basin and there are two sinister statues on either side of the room. Two armour mannequins are propped up against the wall.,"The statues can be searched, and the water in the basin can be drunk. The mannequins can be searched. See notes under furniture chapter.",3,12x6.png,y,@roomback
,3,Diamonds.svg,*Empty room*\nThis room is completely empty. Looking around you discover a large lever set in one of the walls.,"The lever can be pulled. If you chose to pull it roll below: *1-3:* A rumbling noise is heard, but nothing happens. *4:* The unopened door opens. *5:* Will a loud bang, a portcullis falls down, now covering the opening you came from. *6:* A hidden door opens, leading to a small treasure chamber.\nSee *Hearts 9*.",2,6x6-L.png,y,@roomback
,4,Diamonds.svg,"*Large dining hall*\nThis large hall appears to be some kind of dining hall. There are several tables with chairs in the room, and in a corner is a large fireplace. It is difficult to say when it was last used, but the tables are filled with plates and old food.  Alongside one wall is two armoured mannequins, covered in cobweb.",There are 3 tables in the room.  They are considered dining tables for searching purposes.  The mannequins may also be searched.,2,12x6.png,y,@roomback
,5,Diamonds.svg,"*The Pit*\nJust inside the door is a steep ledge. Carefully peeking over the edge, you see a pit so deep that cannot see the bottom. You drop a small pebble down the chams and wait, but after a minute of waiting, there is still no sound. Luckily, there is a rickety bridge going across to the other side and the door you've seen.","Fighting on the bridge is treacherous. Any hero reduced to 0 hit points must make a DEX roll. A failure will send the hero over the edge, plummeting to his death.",2,6x6.png,y,@roomback
,6,Diamonds.svg,*Cell*\nThe heroes open the door and notice that this is a small cell. There is a grating in the floor and there are the remnants of some poor soul chained to the wall.,The prisoner can be searched (dead adventurer) as well as the grating.,1,4x4.png,y,@roomback
,7,Diamonds.svg,*Storage room*\nThis small room seem to be some kind of storage. There are piles of boxes lined up against the wall.,There are 2 sets of boxes that can be searched.,2,4x4.png,y,@roomback
,8,Diamonds.svg,"*The small study*\nThis room has a stained wooden floor and seems to be some kind of study. There is a table along the wall, and a bookshelf along the opposite wall. Besides the table, there is a small chest.","The table, chest and shelf can be searched.",1,4x4.png,y,@roomback
,9,Diamonds.svg,"*The small bedroom*\nCompared to the rest of the rooms you've seen in the dungeon, this room is almost cosy. There is a bed along one of the walls and at the end of the bed, there is a small chest. In a corner, there is a comfortable chair and there is a cupboard along the wall.","The chest, bed and cupboard may be searched",1,4x4.png,y,@roomback
,10,Diamonds.svg,*The well*\nIn the middle of this small room there is a round well. Besides the well lies the remnants of a dead adventurer. Probably best to not test the water.,The adventurer may be searched.,2,4x4.png,y,@roomback
